지점,일시,1시간평균 미세먼지농도(㎍/㎥)
90,41640,128
90,41640.04167,107
90,41640.08333,97
90,41640.125,78
90,41640.16667,76
90,41640.20833,83
90,41640.25,99
90,41640.29167,108
90,41640.33333,100
90,41640.375,104
90,41640.41667,99
90,41640.45833,91
90,41640.5,80
90,41640.54167,58
90,41640.58333,61
90,41640.625,63
90,41640.66667,54
90,41640.70833,57
90,41640.75,53
90,41640.79167,67
90,41640.83333,89
90,41640.875,108
90,41640.91667,98
90,41640.95833,86
90,41641,62
90,41641.04167,57
90,41641.08333,50
90,41641.125,43
90,41641.16667,39
90,41641.20833,33
90,41641.25,31
90,41641.29167,22
90,41641.33333,22
90,41641.375,15
90,41641.41667,23
90,41641.45833,30
90,41641.5,20
90,41641.54167,22
90,41641.58333,20
90,41641.625,19
90,41641.66667,21
90,41641.70833,17
90,41641.75,42
90,41641.79167,31
90,41641.83333,25
90,41641.875,24
90,41641.91667,23
90,41641.95833,31
90,41642,32
90,41642.04167,44
90,41642.08333,35
90,41642.125,37
90,41642.16667,33
90,41642.20833,37
90,41642.25,26
90,41642.29167,38
90,41642.33333,29
90,41642.375,41
90,41642.41667,44
90,41642.45833,43
90,41642.5,63
90,41642.54167,77
90,41642.58333,84
90,41642.625,82
90,41642.66667,59
90,41642.70833,61
90,41642.75,63
90,41642.79167,74
90,41642.83333,71
90,41642.875,50
90,41642.91667,57
90,41642.95833,58
90,41643,62
90,41643.04167,62
90,41643.08333,54
90,41643.125,35
90,41643.16667,22
90,41643.20833,28
90,41643.25,33
90,41643.29167,44
90,41643.33333,38
90,41643.375,32
90,41643.41667,32
90,41643.45833,24
90,41643.5,28
90,41643.54167,23
90,41643.58333,27
90,41643.625,21
90,41643.66667,21
90,41643.70833,26
90,41643.75,24
90,41643.79167,17
90,41643.83333,17
90,41643.875,18
90,41643.91667,15
90,41643.95833,19
90,41644,16
90,41644.04167,24
90,41644.08333,17
90,41644.125,13
90,41644.16667,12
90,41644.20833,13
90,41644.25,8
90,41644.29167,12
90,41644.33333,9
90,41644.375,8
90,41644.41667,13
90,41644.45833,14
90,41644.5,30
90,41644.54167,33
90,41644.58333,36
90,41644.625,37
90,41644.66667,46
90,41644.70833,36
90,41644.75,35
90,41644.79167,36
90,41644.83333,31
90,41644.875,23
90,41644.91667,23
90,41644.95833,29
90,41645,25
90,41645.04167,31
90,41645.08333,28
90,41645.125,35
90,41645.16667,28
90,41645.20833,36
90,41645.25,34
90,41645.29167,39
90,41645.33333,42
90,41645.375,45
90,41645.41667,53
90,41645.45833,53
90,41645.5,58
90,41645.54167,59
90,41645.58333,54
90,41645.625,53
90,41645.66667,55
90,41645.70833,57
