구분,읍·면·동,대상시설명,도로명주소,지번주소,우편번호,위도,경도,보관기간,관리부서,전화번호,데이터기준일
1,양평읍,양평초교(병설),경기도 양평군 양평읍 양근로 142,경기도 양평군 양평읍 양근리 491-9번지,12554,37.49237074,127.4866854,30일,행정담당관,031-770-2305,2020-02-19
2,양평읍,양평동초교(병설),경기도 양평군 양평읍 창대길 20-8,경기도 양평군 양평읍 창대리 639번지,12560,37.48822498,127.5071264,30일,행정담당관,031-770-2305,2020-02-19
3,양평읍,원덕 초교(병설),경기도 양평군 양평읍 원덕흑천길 180,경기도 양평군 양평읍 원덕리 381번지,12565,37.46805379,127.5428373,30일,행정담당관,031-770-2305,2020-02-19
4,강상면,강상초교(병설),경기도 양평군 강상면 신화길 86,경기도 양평군 강상면 신화리 243번지,12572,37.47392776,127.4798351,30일,행정담당관,031-770-2305,2020-02-19
5,강상면,세월초교(병설),경기도 양평군 강상면 세월길147번길 2,경기도 양평군 강상면 세월리 126-1번지,12573,37.43605366,127.4951168,30일,행정담당관,031-770-2305,2020-02-19
6,강하면,강하초교(병설),경기도 양평군 강하면 운심길 33,경기도 양평군 강하면 운심리 43-2번지,12574,37.49655551,127.4098696,30일,행정담당관,031-770-2305,2020-02-19
7,옥천면,옥천초교(병설),경기도 양평군 옥천면 옥천길 51,경기도 양평군 옥천면 옥천리 549-1번지,12507,37.51958576,127.4594079,30일,행정담당관,031-770-2305,2020-02-19
8,양서면,대아초교(병설),경기도 양평군 양서면 방죽들길 5,경기도 양평군 양서면 증동리 573번지,12580,37.5279002,127.4156153,30일,행정담당관,031-770-2305,2020-02-19
9,양서면,양서초교(병설),경기도 양평군 양서면 양서도곡길 8,경기도 양평군 양서면 도곡리 320-1번지,12583,37.51289097,127.382229,30일,행정담당관,031-770-2305,2020-02-19
10,양서면,양수초교(병설),경기도 양평군 양서면 용담3길 15,경기도 양평군 양서면 용담리 212번지,12584,37.54474725,127.3256683,30일,행정담당관,031-770-2305,2020-02-19
11,서종면,서종초교(병설),경기도 양평군 서종면 북한강로789번길 8,경기도 양평군 서종면 문호리 733번지,12502,37.60909901,127.3482122,30일,행정담당관,031-770-2305,2020-02-19
12,서종면,수입초교(병설),경기도 양평군 서종면 무드리2길 20,경기도 양평군 서종면 수입리 673번지,12500,37.64452709,127.3757417,30일,행정담당관,031-770-2305,2020-02-19
13,서종면,정배초교(병설),경기도 양평군 서종면 명덕길 10,경기도 양평군 서종면 정배리 330번지,12501,37.60302448,127.4232909,30일,행정담당관,031-770-2305,2020-02-19
14,용문면,다문초교(병설),경기도 양평군 용문면 다문중앙2길 27,경기도 양평군 용문면 다문리 626번지,12522,37.48587321,127.5915541,30일,행정담당관,031-770-2305,2020-02-19
15,용문면,조현초교(병설),경기도 양평군 용문면 중원산로 157,경기도 양평군 용문면 조현리 174-1번지,12511,37.5227266,127.6159984,30일,행정담당관,031-770-2305,2020-02-19
16,양동면,고송초교(병설),경기도 양평군 양동면 고송길 32-16,경기도 양평군 양동면 고송리 821-1번지,12533,37.48641455,127.7005178,30일,행정담당관,031-770-2305,2020-02-19
17,양동면,양동초교(병설),경기도 양평군 양동면 양동로 1671,경기도 양평군 양동면 석곡리 190번지,12536,37.43069693,127.7498537,30일,행정담당관,031-770-2305,2020-02-19
18,청운면,청운초교(병설),경기도 양평군 청운면 용두로156번길 30,경기도 양평군 청운면 용두리 510-2번지,12530,37.55456135,127.7137542,30일,행정담당관,031-770-2305,2020-02-19
19,단월면,단월초교(병설),경기도 양평군 단월면 보룡길 65,경기도 양평군 단월면 보룡리 693-1번지,12529,37.53961167,127.6728596,30일,행정담당관,031-770-2305,2020-02-19
20,용문면,용문초교(병설),경기도 양평군 용문면 용문로 837,경기도 양평군 용문면 광탄리 154번지,12513,37.50984642,127.6328265,30일,행정담당관,031-770-2305,2020-02-19
21,지평면,지평초교(병설),경기도 양평군 지평면 지평의병로 107,경기도 양평군 지평면 지평리 502-2번지,12541,37.47584089,127.6380253,30일,행정담당관,031-770-2305,2020-02-19
22,지평면,곡수초교(병설),경기도 양평군 지평면 곡수길56번길 17,경기도 양평군 지평면 곡수리 387-1번지,12544,37.41847851,127.6113848,30일,행정담당관,031-770-2305,2020-02-19
23,개군면,개군초교(병설),경기도 양평군 개군면 자진개1길 23,경기도 양평군 개군면 하자포리 276-1번지,12568,37.4279544,127.53436,30일,행정담당관,031-770-2305,2020-02-19
24,양평읍,양평유치원,경기도 양평군 양평읍 시민로24번길 49,경기도 양평군 양평읍 양근리 242-11번지,12561,37.48722466,127.4979074,30일,행정담당관,031-770-2305,2020-02-19
25,용문면,사랑나무어린이집,경기도 양평군 용문면 그릇고갯길 90,경기도 양평군 용문면 마룡리 157-3번지,12524,37.48612036,127.6083858,30일,행정담당관,031-770-2305,2020-02-19
